year,value
1969,199870
1970,178940
1971,158164
1972,147941
1973,128800
1974,117368
1975,108088
1976,97924
1977,89245
1978,80629
1979,76455
1980,70916
1981,65867
1982,63940
1983,62021
1984,61521
1985,58567
1986,56690
1987,56496
1988,54357
1989,53112
1990,51821
1991,50612
1992,48956
1993,47437
1994,44590
1995,43078
1996,42472
1997,42715
1998,41033
1999,43818
2000,39384
2001,35489
2002,32828
2003,31638
2004,29736
2005,28319
2006,26384
2007,25311
2008,24760
2009,24170
2010,23261
2011,22681
2012,21283
2013,20495
2014,19615
2015,18280
2016,17625
2017,16789
2018,15590
2019,14460
2020,12739
2021,11519
2022,10235
2023,10096
