year,value,series
2000,4134706,感染者数
2001,4180737,感染者数
2002,4048859,感染者数
2003,3825282,感染者数
2004,4016648,感染者数
2005,4271200,感染者数
2006,4386050,感染者数
2007,4668666,感染者数
2008,5403729,感染者数
2009,6017879,感染者数
2010,6785885,感染者数
2011,7283090,感染者数
2012,7633594,感染者数
2013,7717689,感染者数
2014,7880779,感染者数
2015,8073585,感染者数
2016,8053568,感染者数
2017,7883346,感染者数
2018,7760340,感染者数
2019,7631511,感染者数
2020,7845383,感染者数
2021,7452978,感染者数
2022,7723787,感染者数
2023,7982516,感染者数
2000,23263,死者数
2001,22290,死者数
2002,20581,死者数
2003,18269,死者数
2004,17879,死者数
2005,21027,死者数
2006,16674,死者数
2007,18662,死者数
2008,19578,死者数
2009,25798,死者数
2010,25731,死者数
2011,30456,死者数
2012,28198,死者数
2013,30224,死者数
2014,29407,死者数
2015,31452,死者数
2016,33542,死者数
2017,30675,死者数
2018,31701,死者数
2019,31206,死者数
2020,34580,死者数
2021,33323,死者数
2022,34109,死者数
2023,35381,死者数
