year,series,value
1990,アジア・太平洋地域,530000
1991,アジア・太平洋地域,590000
1992,アジア・太平洋地域,620000
1993,アジア・太平洋地域,640000
1994,アジア・太平洋地域,770000
1995,アジア・太平洋地域,810000
1996,アジア・太平洋地域,790000
1997,アジア・太平洋地域,710000
1998,アジア・太平洋地域,600000
1999,アジア・太平洋地域,540000
2000,アジア・太平洋地域,490000
2001,アジア・太平洋地域,470000
2002,アジア・太平洋地域,460000
2003,アジア・太平洋地域,430000
2004,アジア・太平洋地域,420000
2005,アジア・太平洋地域,410000
2006,アジア・太平洋地域,390000
2007,アジア・太平洋地域,380000
2008,アジア・太平洋地域,370000
2009,アジア・太平洋地域,360000
2010,アジア・太平洋地域,350000
2011,アジア・太平洋地域,350000
2012,アジア・太平洋地域,340000
2013,アジア・太平洋地域,320000
2014,アジア・太平洋地域,320000
2015,アジア・太平洋地域,320000
2016,アジア・太平洋地域,310000
2017,アジア・太平洋地域,310000
2018,アジア・太平洋地域,310000
2019,アジア・太平洋地域,300000
2020,アジア・太平洋地域,300000
2021,アジア・太平洋地域,300000
2022,アジア・太平洋地域,310000
2023,アジア・太平洋地域,300000
1990,カリブ海地域,28000
1991,カリブ海地域,29000
1992,カリブ海地域,29000
1993,カリブ海地域,30000
1994,カリブ海地域,30000
1995,カリブ海地域,30000
1996,カリブ海地域,29000
1997,カリブ海地域,28000
1998,カリブ海地域,27000
1999,カリブ海地域,26000
2000,カリブ海地域,26000
2001,カリブ海地域,25000
2002,カリブ海地域,24000
2003,カリブ海地域,23000
2004,カリブ海地域,23000
2005,カリブ海地域,22000
2006,カリブ海地域,21000
2007,カリブ海地域,20000
2008,カリブ海地域,19000
2009,カリブ海地域,18000
2010,カリブ海地域,19000
2011,カリブ海地域,18000
2012,カリブ海地域,17000
2013,カリブ海地域,17000
2014,カリブ海地域,17000
2015,カリブ海地域,17000
2016,カリブ海地域,17000
2017,カリブ海地域,17000
2018,カリブ海地域,17000
2019,カリブ海地域,17000
2020,カリブ海地域,16000
2021,カリブ海地域,16000
2022,カリブ海地域,15000
2023,カリブ海地域,15000
1990,東部・南部アフリカ,1300000
1991,東部・南部アフリカ,1400000
1992,東部・南部アフリカ,1600000
1993,東部・南部アフリカ,1600000
1994,東部・南部アフリカ,1600000
1995,東部・南部アフリカ,1600000
1996,東部・南部アフリカ,1600000
1997,東部・南部アフリカ,1600000
1998,東部・南部アフリカ,1600000
1999,東部・南部アフリカ,1600000
2000,東部・南部アフリカ,1500000
2001,東部・南部アフリカ,1500000
2002,東部・南部アフリカ,1500000
2003,東部・南部アフリカ,1400000
2004,東部・南部アフリカ,1400000
2005,東部・南部アフリカ,1400000
2006,東部・南部アフリカ,1300000
2007,東部・南部アフリカ,1300000
2008,東部・南部アフリカ,1200000
2009,東部・南部アフリカ,1100000
2010,東部・南部アフリカ,1100000
2011,東部・南部アフリカ,1100000
2012,東部・南部アフリカ,1000000
2013,東部・南部アフリカ,970000
2014,東部・南部アフリカ,920000
2015,東部・南部アフリカ,880000
2016,東部・南部アフリカ,830000
2017,東部・南部アフリカ,760000
2018,東部・南部アフリカ,710000
2019,東部・南部アフリカ,650000
2020,東部・南部アフリカ,600000
2021,東部・南部アフリカ,560000
2022,東部・南部アフリカ,500000
2023,東部・南部アフリカ,450000
1990,東ヨーロッパ・中央アジア,12000
1991,東ヨーロッパ・中央アジア,14000
1992,東ヨーロッパ・中央アジア,17000
1993,東ヨーロッパ・中央アジア,21000
1994,東ヨーロッパ・中央アジア,29000
1995,東ヨーロッパ・中央アジア,39000
1996,東ヨーロッパ・中央アジア,50000
1997,東ヨーロッパ・中央アジア,55000
1998,東ヨーロッパ・中央アジア,58000
1999,東ヨーロッパ・中央アジア,60000
2000,東ヨーロッパ・中央アジア,61000
2001,東ヨーロッパ・中央アジア,61000
2002,東ヨーロッパ・中央アジア,62000
2003,東ヨーロッパ・中央アジア,65000
2004,東ヨーロッパ・中央アジア,72000
2005,東ヨーロッパ・中央アジア,80000
2006,東ヨーロッパ・中央アジア,87000
2007,東ヨーロッパ・中央アジア,96000
2008,東ヨーロッパ・中央アジア,100000
2009,東ヨーロッパ・中央アジア,110000
2010,東ヨーロッパ・中央アジア,120000
2011,東ヨーロッパ・中央アジア,120000
