年,value,series
2000,238000000,感染者数
2000,861000,死亡者数
2001,245000000,感染者数
2001,870000,死亡者数
2002,243000000,感染者数
2002,838000,死亡者数
2003,248000000,感染者数
2003,809000,死亡者数
2004,250000000,感染者数
2004,805000,死亡者数
2005,250000000,感染者数
2005,766000,死亡者数
2006,245000000,感染者数
2006,773000,死亡者数
2007,241000000,感染者数
2007,751000,死亡者数
2008,240000000,感染者数
2008,713000,死亡者数
2009,246000000,感染者数
2009,723000,死亡者数
2010,248000000,感染者数
2010,700000,死亡者数
2011,241000000,感染者数
2011,662000,死亡者数
2012,237000000,感染者数
2012,617000,死亡者数
2013,231000000,感染者数
2013,588000,死亡者数
2014,227000000,感染者数
2014,585000,死亡者数
2015,226000000,感染者数
2015,578000,死亡者数
2016,229000000,感染者数
2016,577000,死亡者数
2017,237000000,感染者数
2017,574000,死亡者数
2018,234000000,感染者数
2018,574000,死亡者数
2019,236000000,感染者数
2019,567000,死亡者数
2020,247000000,感染者数
2020,622000,死亡者数
2021,249000000,感染者数
2021,602000,死亡者数
2022,252000000,感染者数
2022,600000,死亡者数
2023,263000000,感染者数
2023,597000,死亡者数
