year,series,value
2000,感染者数,4134706
2001,感染者数,4180737
2002,感染者数,4048859
2003,感染者数,3825282
2004,感染者数,4016648
2005,感染者数,4271200
2006,感染者数,4386050
2007,感染者数,4668666
2008,感染者数,5403729
2009,感染者数,6017879
2010,感染者数,6785885
2011,感染者数,7283090
2012,感染者数,7633594
2013,感染者数,7717689
2014,感染者数,7880779
2015,感染者数,8073585
2016,感染者数,8053568
2017,感染者数,7883346
2018,感染者数,7760340
2019,感染者数,7631511
2020,感染者数,7845383
2021,感染者数,7452978
2022,感染者数,7723787
2023,感染者数,7982516
2000,死亡者数,23263
2001,死亡者数,22290
2002,死亡者数,20581
2003,死亡者数,18269
2004,死亡者数,17879
2005,死亡者数,21027
2006,死亡者数,16674
2007,死亡者数,18662
2008,死亡者数,19578
2009,死亡者数,25798
2010,死亡者数,25731
2011,死亡者数,30456
2012,死亡者数,28198
2013,死亡者数,30224
2014,死亡者数,29407
2015,死亡者数,31452
2016,死亡者数,33542
2017,死亡者数,30675
2018,死亡者数,31701
2019,死亡者数,31206
2020,死亡者数,34580
2021,死亡者数,33323
2022,死亡者数,34109
2023,死亡者数,35381
