year,和暦,rank,deathby,死亡数,死亡率
1947,昭和 ２２年,1,全結核,146241,187.2
1948,２３,1,全結核,143909,179.9
1949,２４,1,全結核,138113,168.9
1950,２５,1,全結核,121769,146.4
1951,２６,1,脳血管疾患,105858,125.2
1952,２７,1,脳血管疾患,110359,128.5
1953,２８,1,脳血管疾患,116351,133.7
1954,２９,1,脳血管疾患,116925,132.4
1955,３０,1,脳血管疾患,121504,136.1
1956,３１,1,脳血管疾患,133931,148.4
1957,３２,1,脳血管疾患,138181,151.7
1958,３３,1,脳血管疾患,136767,148.6
1959,３４,1,脳血管疾患,142858,153.7
1960,３５,1,脳血管疾患,150109,160.7
1961,３６,1,脳血管疾患,155966,165.4
1962,３７,1,脳血管疾患,161228,169.4
1963,３８,1,脳血管疾患,164818,171.4
1964,３９,1,脳血管疾患,166901,171.7
1965,４０,1,脳血管疾患,172773,175.8
1966,４１,1,脳血管疾患,172186,173.8
1967,４２,1,脳血管疾患,172464,173.1
1968,４３,1,脳血管疾患,174905,173.5
1969,４４,1,脳血管疾患,177894,174.4
1970,４５,1,脳血管疾患,181315,175.8
1971,４６,1,脳血管疾患,176952,169.6
1972,４７,1,脳血管疾患,176228,166.7
1973,４８,1,脳血管疾患,180332,166.9
1974,４９,1,脳血管疾患,178365,163
1975,５０,1,脳血管疾患,174367,156.7
1976,５１,1,脳血管疾患,173745,154.5
1977,５２,1,脳血管疾患,170029,149.8
1978,５３,1,脳血管疾患,167452,146.2
1979,５４,1,脳血管疾患,158974,137.7
1980,５５,1,脳血管疾患,162317,139.5
1981,５６,1,悪性新生物,166399,142
1982,５７,1,悪性新生物,170130,144.2
1983,５８,1,悪性新生物,176206,148.3
1984,５９,1,悪性新生物,182280,152.5
1985,６０,1,悪性新生物,187714,156.1
1986,６１,1,悪性新生物,191654,158.5
1987,６２,1,悪性新生物,199563,164.2
1988,６３,1,悪性新生物,205470,168.4
1989,平成 元 年,1,悪性新生物,212625,173.6
1990,２,1,悪性新生物,217413,177.2
1991,３,1,悪性新生物,223727,181.7
1992,４,1,悪性新生物,231917,187.8
1993,５,1,悪性新生物,235707,190.4
1994,６,1,悪性新生物,243670,196.4
1995,７,1,悪性新生物,263022,211.6
1996,８,1,悪性新生物,271183,217.5
1997,９,1,悪性新生物,275413,220.4
1998,１０,1,悪性新生物,283921,226.7
1999,１１,1,悪性新生物,290556,231.6
2000,１２,1,悪性新生物,295484,235.2
2001,１３,1,悪性新生物,300658,238.8
2002,１４,1,悪性新生物,304568,241.7
2003,１５,1,悪性新生物,309543,245.4
2004,１６,1,悪性新生物,320358,253.9
2005,１７,1,悪性新生物,325941,258.3
2006,１８,1,悪性新生物,329314,261
2007,１９,1,悪性新生物,336468,266.9
2008,２０,1,悪性新生物,342963,272.3
2009,２１,1,悪性新生物,344105,273.5
1947,昭和 ２２年,2,肺炎及び気管支炎,136524,174.8
1948,２３,2,脳血管疾患,94329,117.9
1949,２４,2,脳血管疾患,100278,122.6
1950,２５,2,脳血管疾患,105728,127.1
1951,２６,2,全結核,93307,110.3
1952,２７,2,全結核,70558,82.2
1953,２８,2,悪性新生物,71578,82.2
1954,２９,2,悪性新生物,75309,85.3
1955,３０,2,悪性新生物,77721,87.1
1956,３１,2,悪性新生物,81879,90.7
1957,３２,2,悪性新生物,83155,91.3
1958,３３,2,悪性新生物,87895,95.5
1959,３４,2,悪性新生物,91286,98.2
1960,３５,2,悪性新生物,93773,100.4
1961,３６,2,悪性新生物,96442,102.3
1962,３７,2,悪性新生物,98224,103.2
1963,３８,2,悪性新生物,101426,105.5
1964,３９,2,悪性新生物,104324,107.3
1965,４０,2,悪性新生物,106536,108.4
1966,４１,2,悪性新生物,109805,110.9
1967,４２,2,悪性新生物,112593,113
1968,４３,2,悪性新生物,115462,114.6
1969,４４,2,悪性新生物,118559,116.2
1970,４５,2,悪性新生物,119977,116.3
1971,４６,2,悪性新生物,122850,117.7
1972,４７,2,悪性新生物,127299,120.4
1973,４８,2,悪性新生物,130964,121.2
1974,４９,2,悪性新生物,133751,122.2
1975,５０,2,悪性新生物,136383,122.6
1976,５１,2,悪性新生物,140893,125.3
1977,５２,2,悪性新生物,145772,128.4
1978,５３,2,悪性新生物,150336,131.3
1979,５４,2,悪性新生物,156661,135.7
1980,５５,2,悪性新生物,161764,139.1
1981,５６,2,脳血管疾患,157351,134.3
1982,５７,2,脳血管疾患,147537,125
1983,５８,2,脳血管疾患,145880,122.8
1984,５９,2,脳血管疾患,140093,117.2
1985,６０,2,心疾患,141097,117.3
1986,６１,2,心疾患,142581,117.9
1987,６２,2,心疾患,143909,118.4
1988,６３,2,心疾患,157920,129.4
1989,平成 元 年,2,心疾患,156831,128.1
1990,２,2,心疾患,165478,134.8
1991,３,2,心疾患,168878,137.2
1992,４,2,心疾患,175546,142.2
1993,５,2,心疾患,180297,145.6
1994,６,2,心疾患,159579,128.6
1995,７,2,脳血管疾患,146552,117.9
1996,８,2,脳血管疾患,140366,112.6
1997,９,2,心疾患,140174,112.2
1998,１０,2,心疾患,143120,114.3
1999,１１,2,心疾患,151079,120.4
2000,１２,2,心疾患,146741,116.8
2001,１３,2,心疾患,148292,117.8
2002,１４,2,心疾患,152518,121
2003,１５,2,心疾患,159545,126.5
2004,１６,2,心疾患,159625,126.5
2005,１７,2,心疾患,173125,137.2
2006,１８,2,心疾患,173024,137.2
2007,１９,2,心疾患,175539,139.2
2008,２０,2,心疾患,181928,144.4
2009,２１,2,心疾患,180745,143.7
1947,昭和 ２２年,3,胃腸炎,106838,136.8
1948,２３,3,胃腸炎,87890,109.9
1949,２４,3,肺炎及び気管支炎,81812,100
1950,２５,3,肺炎及び気管支炎,77565,93.2
1951,２６,3,肺炎及び気管支炎,69555,82.2
1952,２７,3,悪性新生物,69488,80.9
1953,２８,3,老衰,67514,77.6
1954,２９,3,老衰,61334,69.5
1955,３０,3,老衰,59932,67.1
1956,３１,3,老衰,68414,75.8
1957,３２,3,老衰,73283,80.5
1958,３３,3,心疾患,59603,64.8
1959,３４,3,心疾患,62954,67.7
1960,３５,3,心疾患,68400,73.2
1961,３６,3,心疾患,68017,72.1
1962,３７,3,心疾患,72493,76.2
1963,３８,3,心疾患,67672,70.4
1964,３９,3,心疾患,68328,70.3
1965,４０,3,心疾患,75672,77
1966,４１,3,心疾患,71188,71.9
