year,series,value
2010,アジア・太平洋地域,300000
2011,アジア・太平洋地域,280000
2012,アジア・太平洋地域,260000
2013,アジア・太平洋地域,240000
2014,アジア・太平洋地域,230000
2015,アジア・太平洋地域,220000
2016,アジア・太平洋地域,200000
2017,アジア・太平洋地域,190000
2018,アジア・太平洋地域,170000
2019,アジア・太平洋地域,160000
2020,アジア・太平洋地域,150000
2021,アジア・太平洋地域,150000
2022,アジア・太平洋地域,150000
2010,カリブ海地域,12000
2011,カリブ海地域,12000
2012,カリブ海地域,11000
2013,カリブ海地域,11000
2014,カリブ海地域,10000
2015,カリブ海地域,9500
2016,カリブ海地域,9700
2017,カリブ海地域,8900
2018,カリブ海地域,7600
2019,カリブ海地域,6900
2020,カリブ海地域,6200
2021,カリブ海地域,5900
2022,カリブ海地域,5600
2010,東部・南部アフリカ,600000
2011,東部・南部アフリカ,540000
2012,東部・南部アフリカ,490000
2013,東部・南部アフリカ,440000
2014,東部・南部アフリカ,400000
2015,東部・南部アフリカ,370000
2016,東部・南部アフリカ,350000
2017,東部・南部アフリカ,330000
2018,東部・南部アフリカ,310000
2019,東部・南部アフリカ,290000
2020,東部・南部アフリカ,280000
2021,東部・南部アフリカ,270000
2022,東部・南部アフリカ,260000
2010,東ヨーロッパ・中央アジア,33000
2011,東ヨーロッパ・中央アジア,35000
2012,東ヨーロッパ・中央アジア,37000
2013,東ヨーロッパ・中央アジア,38000
2014,東ヨーロッパ・中央アジア,38000
2015,東ヨーロッパ・中央アジア,39000
2016,東ヨーロッパ・中央アジア,37000
2017,東ヨーロッパ・中央アジア,36000
2018,東ヨーロッパ・中央アジア,38000
2019,東ヨーロッパ・中央アジア,40000
2020,東ヨーロッパ・中央アジア,42000
2021,東ヨーロッパ・中央アジア,44000
2022,東ヨーロッパ・中央アジア,48000
2010,中南米（ラテンアメリカ）,40000
2011,中南米（ラテンアメリカ）,39000
2012,中南米（ラテンアメリカ）,38000
2013,中南米（ラテンアメリカ）,38000
2014,中南米（ラテンアメリカ）,38000
2015,中南米（ラテンアメリカ）,37000
2016,中南米（ラテンアメリカ）,35000
2017,中南米（ラテンアメリカ）,34000
2018,中南米（ラテンアメリカ）,35000
2019,中南米（ラテンアメリカ）,33000
2020,中南米（ラテンアメリカ）,30000
2021,中南米（ラテンアメリカ）,28000
2022,中南米（ラテンアメリカ）,27000
2010,中東・北アフリカ,6300
2011,中東・北アフリカ,6400
2012,中東・北アフリカ,6500
2013,中東・北アフリカ,6400
2014,中東・北アフリカ,6300
2015,中東・北アフリカ,6200
2016,中東・北アフリカ,5900
2017,中東・北アフリカ,5600
2018,中東・北アフリカ,5500
2019,中東・北アフリカ,5300
2020,中東・北アフリカ,5200
2021,中東・北アフリカ,5200
2022,中東・北アフリカ,5300
2010,西部・中部アフリカ,260000
2011,西部・中部アフリカ,250000
2012,西部・中部アフリカ,240000
2013,西部・中部アフリカ,230000
2014,西部・中部アフリカ,210000
2015,西部・中部アフリカ,210000
2016,西部・中部アフリカ,200000
2017,西部・中部アフリカ,190000
2018,西部・中部アフリカ,180000
2019,西部・中部アフリカ,170000
2020,西部・中部アフリカ,160000
2021,西部・中部アフリカ,140000
2022,西部・中部アフリカ,120000
2010,西・中央ヨーロッパおよび北米,19000
2011,西・中央ヨーロッパおよび北米,18000
2012,西・中央ヨーロッパおよび北米,16000
2013,西・中央ヨーロッパおよび北米,15000
2014,西・中央ヨーロッパおよび北米,14000
2015,西・中央ヨーロッパおよび北米,13000
2016,西・中央ヨーロッパおよび北米,13000
2017,西・中央ヨーロッパおよび北米,13000
2018,西・中央ヨーロッパおよび北米,12000
2019,西・中央ヨーロッパおよび北米,12000
2020,西・中央ヨーロッパおよび北米,13000
2021,西・中央ヨーロッパおよび北米,13000
2022,西・中央ヨーロッパおよび北米,13000
2010,世界,1300000
2011,世界,1200000
2012,世界,1100000
2013,世界,1000000
2014,世界,950000
2015,世界,900000
2016,世界,850000
2017,世界,800000
2018,世界,760000
2019,世界,720000
2020,世界,690000
2021,世界,660000
2022,世界,630000
