year,series,value
2000,感染者数,753
2001,感染者数,362
2002,感染者数,117
2003,感染者数,85
2004,感染者数,112
2005,感染者数,67
2006,感染者数,49
2007,感染者数,40
2008,感染者数,33
2009,感染者数,21
2010,感染者数,17
2011,感染者数,7
2012,感染者数,13
2013,感染者数,6
2014,感染者数,6
2015,感染者数,5
2016,感染者数,12
2017,感染者数,0
2018,感染者数,0
2019,感染者数,0
2020,感染者数,0
2021,感染者数,0
2022,感染者数,0
2023,感染者数,0
2000,死亡者数,0
2001,死亡者数,0
2002,死亡者数,0
2003,死亡者数,0
2004,死亡者数,0
2005,死亡者数,0
2006,死亡者数,0
2007,死亡者数,0
2008,死亡者数,0
2009,死亡者数,0
2010,死亡者数,0
2011,死亡者数,0
2012,死亡者数,0
2013,死亡者数,0
2014,死亡者数,0
2015,死亡者数,0
2016,死亡者数,0
2017,死亡者数,0
2018,死亡者数,0
2019,死亡者数,0
2020,死亡者数,0
2021,死亡者数,0
2022,死亡者数,0
2023,死亡者数,0
