year,series,value
2000,感染者数,238000000
2000,死亡者数,861000
2001,感染者数,245000000
2001,死亡者数,870000
2002,感染者数,243000000
2002,死亡者数,838000
2003,感染者数,248000000
2003,死亡者数,809000
2004,感染者数,250000000
2004,死亡者数,805000
2005,感染者数,250000000
2005,死亡者数,766000
2006,感染者数,245000000
2006,死亡者数,773000
2007,感染者数,241000000
2007,死亡者数,751000
2008,感染者数,240000000
2008,死亡者数,713000
2009,感染者数,246000000
2009,死亡者数,723000
2010,感染者数,248000000
2010,死亡者数,700000
2011,感染者数,241000000
2011,死亡者数,662000
2012,感染者数,237000000
2012,死亡者数,617000
2013,感染者数,231000000
2013,死亡者数,588000
2014,感染者数,227000000
2014,死亡者数,585000
2015,感染者数,226000000
2015,死亡者数,578000
2016,感染者数,229000000
2016,死亡者数,577000
2017,感染者数,237000000
2017,死亡者数,574000
2018,感染者数,234000000
2018,死亡者数,574000
2019,感染者数,236000000
2019,死亡者数,567000
2020,感染者数,247000000
2020,死亡者数,622000
2021,感染者数,249000000
2021,死亡者数,602000
2022,感染者数,252000000
2022,死亡者数,600000
2023,感染者数,263000000
2023,死亡者数,597000
